Год;Экспорт;Импорт;Сальдо;В % к предыдущему году;;;;
1994; 63285,4   ; 38661,4   ; 24624   ; - ; - ;;;
1995; 78216,9   ; 46708,9   ; 31508   ; 123,6   ; 120,8   ;;;
1996; 85189,2   ; 46457,7   ; 38731   ; 108,9   ; 99,5   ;;;
1997; 85095,7   ; 53123,4   ; 31972   ; 99,9   ; 114,3   ;;;
1998; 71313,8   ; 43579,5   ; 27734   ; 83,8   ; 82,0   ;;;
1999; 72888,6   ; 30277,6   ; 42611   ; 102,2   ; 69,5   ;;;
2000; 103092,7   ; 33878,5   ; 69214   ; 141,4   ; 111,9   ;;;
2001; 99969,6   ; 41881,3   ; 58088   ; 97,0   ; 123,6   ;;;
2002; 106711,8   ; 46173,7   ; 60538   ; 106,7   ; 110,2   ;;;
2003; 133655,7   ; 57346,5   ; 76309   ; 125,2   ; 124,2   ;;;
2004; 181600,4   ; 75569,4   ; 106031   ; 135,9   ; 131,8   ;;;
2005; 241473,2   ; 98707,5   ; 142765   ; 133,0   ; 130,6   ;;;
2006; 301244,2   ; 137807,0   ; 163437   ; 124,8   ; 139,6   ;;;
2007; 351928,2   ; 199753,1   ; 152175   ; 116,8   ; 145,0   ;;;
2008; 467580,5   ; 267100,7   ; 200479   ; 132,9   ; 133,7   ;;;
2009; 301666,5   ; 167348,0   ; 134318   ; 64,5   ; 62,7   ;;;
2010; 397067,5   ; 228911,7   ; 168155   ; 131,6   ; 136,8   ;;;
2011; 516717,9   ; 305760,4   ; 210957   ; 130,1   ; 133,6   ;;;
2012; 524735,4   ; 317263,2   ; 207472   ; 101,6   ; 103,8   ;;;
2013; 527266,4   ; 314967,0   ; 212299   ; 100,5   ; 99,3   ;;;
2014; 497358,7   ; 287062,7   ; 210296   ; 94,3   ; 91,1   ;;;
2015; 343511,8   ; 182902,3   ; 160609   ; 69,1   ; 63,7   ;;;
2016; 285652,3   ; 182448,2   ; 103204   ; 83,2   ; 99,8   ;;;
2017; 357261,5   ; 227870,1   ; 129391   ; 125,1   ; 124,9   ;;;
2018; 449563,6   ; 238493,5   ; 211070   ; 125,8   ; 104,7   ;;;
;;;;;;;;
